lon,lat,date,month,sst_c,presence
-17.11657805929668,-12.153949595327365,2019-08-15,8.0,24.14746,0
-16.3734490378342,-9.918434736995824,2019-06-15,6.0,26.757904,0
-15.519214011635363,-25.038428376219386,2019-09-15,9.0,20.779633,0
-56.5014100302296,13.716315142177407,2019-01-15,1.0,26.439545,0
-22.074312369918843,13.699199038796138,2019-09-15,9.0,28.101837,0
-49.947999062410574,11.67381485237459,2019-03-15,3.0,25.867004,0
-51.554352196962114,27.336932643572723,2019-06-15,6.0,26.556854,0
-30.06229101274442,16.38850878506007,2019-12-15,12.0,24.922852,0
-34.369259763903,-6.646838049625977,2019-04-15,4.0,29.22351,0
-31.656236876582476,-19.66218330205612,2019-10-15,10.0,24.748962,0
-22.150074379857465,7.371491805349514,2019-09-15,9.0,27.793335,0
-11.617538752129633,-9.696040641384322,2019-12-15,12.0,25.417084,0
-18.60910536161363,-8.739191607550264,2019-10-15,10.0,24.410217,0
-23.171710013974064,-7.100404748009705,2019-03-15,3.0,29.09668,0
-32.793790556894606,-14.319513314766555,2019-06-15,6.0,27.282959,0
-42.14234266646805,3.9452452387067893,2019-08-15,8.0,27.972626,0
-34.02934608195226,24.71447561557303,2019-02-15,2.0,22.199615,0
-30.12833439209424,-13.992210233864434,2019-07-15,7.0,26.463745,0
-52.17022708744475,18.13715906788544,2019-09-15,9.0,28.462372,0
-33.14504068445048,14.116378875005744,2019-08-15,8.0,26.848236,0
-46.83236005922372,0.385705345091111,2019-10-15,10.0,28.25705,0
-20.445893721036278,13.431986759919297,2019-06-15,6.0,25.141968,0
-17.29639782697261,-24.70670733912293,2019-11-15,11.0,22.489563,0
-19.067644061127453,-25.89139993078944,2019-05-15,5.0,23.860352,0
-47.894774565215954,12.104243099302046,2019-04-15,4.0,25.796082,0
-17.758751795417645,27.04966806924019,2019-09-15,9.0,23.858307,0
-53.766096218149684,9.149400439195276,2019-04-15,4.0,27.538086,0
-11.892585917449708,-13.819697494710454,2019-03-15,3.0,26.816467,0
-34.72731318346584,29.702193343302113,2019-02-15,2.0,20.880127,0
-32.14926101498759,-10.959807173674932,2019-08-15,8.0,26.353699,0
-30.662047804170285,10.34019583172001,2019-09-15,9.0,28.264893,0
-56.35321917811609,6.142300475003296,2019-12-15,12.0,26.927979,0
-27.043375610141524,-25.917173820246187,2019-04-15,4.0,25.96112,0
-31.041594829169824,-2.7117601439617296,2019-01-15,1.0,28.06958,0
-16.5412777562022,-29.26827532604157,2019-04-15,4.0,24.436005,0
-25.51346930445318,10.055159179176542,2019-03-15,3.0,24.529663,0
-49.1800532807553,-29.332820214031575,2019-09-15,9.0,17.588226,0
-20.156558538846525,-14.240672687720771,2019-03-15,3.0,27.456573,0
-30.910155309509378,-20.00189713526975,2019-05-15,5.0,27.780762,0
-59.031726248759135,19.616072939563104,2019-07-15,7.0,28.244843,0
-40.0457938382208,24.043831930722355,2019-10-15,10.0,26.945343,0
-27.425664312565644,8.32847635507639,2019-02-15,2.0,25.935486,0
-19.364939866180308,10.689072839057083,2019-04-15,4.0,23.729828,0
-11.778747981266818,-17.364201672682693,2019-01-15,1.0,24.306122,0
-32.48251356730455,-12.642695427342865,2019-06-15,6.0,27.586212,0
-30.07266585286778,18.319322943783447,2019-08-15,8.0,25.6445,0
-38.21411265438077,-21.20803561825116,2019-07-15,7.0,25.320679,0
-21.749460020095626,17.141906935915728,2019-08-15,8.0,25.224152,0
-46.757994151679256,-29.26565283119854,2019-02-15,2.0,27.088196,0
-40.2766970709017,15.365082724285593,2019-10-15,10.0,27.130035,0
-22.80827734285532,21.99549140688091,2019-01-15,1.0,21.631195,0
-11.165179435598986,1.5550323981069596,2019-06-15,6.0,27.683655,0
-12.08409950076065,-18.651919153359934,2019-08-15,8.0,22.194916,0
-33.07729654600741,22.99501902636562,2019-01-15,1.0,23.441956,0
-30.458319900181472,-23.807783754753654,2019-03-15,3.0,29.24884,0
-11.451316019729184,-14.985024556712151,2019-02-15,2.0,25.694458,0
-15.961858129238074,26.28045053773426,2019-02-15,2.0,19.073822,0
-10.250734156102489,-18.268296269355503,2019-02-15,2.0,25.72348,0
-33.04262879003254,4.483210763966255,2019-04-15,4.0,27.40976,0
-41.32891542456698,-28.178649802272258,2019-01-15,1.0,26.34848,0
-29.812030642097938,-6.188489252520242,2019-01-15,1.0,27.994507,0
-27.22282761682721,9.799110497043927,2019-10-15,10.0,28.766846,0
-19.723857530403883,17.82931212473921,2019-06-15,6.0,22.21997,0
-31.42065623269306,1.7491489875531165,2019-02-15,2.0,27.894196,0
-28.009809288031807,-8.741277452167743,2019-04-15,4.0,29.25473,0
-13.058144382303077,-12.451931246367366,2019-08-15,8.0,23.373138,0
-27.905227587910417,-2.3086158289639833,2019-05-15,5.0,28.431305,0
-48.329459974822896,16.353250603132295,2019-12-15,12.0,26.58142,0
-53.71947056820459,16.266163677058586,2019-01-15,1.0,25.55368,0
-29.08614369045009,23.893288734706985,2019-11-15,11.0,24.782196,0
-11.071956177755297,-8.257829146472872,2019-09-15,9.0,23.814148,0
-45.6735927084906,19.072669468943516,2019-11-15,11.0,26.953644,0
-29.693688578552305,0.20088565140923365,2019-09-15,9.0,26.712982,0
-19.458355780596854,-12.905766737324761,2019-10-15,10.0,23.835815,0
-34.51179741075333,-17.32534533191815,2019-01-15,1.0,27.911743,0
-34.86054938215927,-14.843023395738417,2019-06-15,6.0,27.616516,0
-53.31088844742912,27.683612716653705,2019-02-15,2.0,23.07312,0
-36.11238614031932,-20.873666653914675,2019-02-15,2.0,29.154785,0
-13.690101046032922,-24.69605058224046,2019-06-15,6.0,22.570862,0
-45.949992412552646,23.957847820150228,2019-12-15,12.0,25.3367,0
-29.377331157208438,27.220091638817685,2019-12-15,12.0,22.861664,0
-45.24130373740178,-27.34210803672007,2019-02-15,2.0,27.746033,0
-30.831625705990604,-5.084200580307691,2019-05-15,5.0,29.078552,0
-14.13924070813514,9.050660895741025,2019-01-15,1.0,28.38559,0
-44.56719961192872,29.782919586525395,2019-12-15,12.0,24.170471,0
-13.726881075427293,-14.987793131585983,2019-03-15,3.0,26.506348,0
-28.96192194984997,-1.9046127061063345,2019-10-15,10.0,26.865479,0
-29.428709412264894,10.199943590374673,2019-08-15,8.0,27.785187,0
-29.265122335808577,-3.634939762390207,2019-12-15,12.0,27.909912,0
-36.09416578703392,-12.552634234117395,2019-03-15,3.0,29.256348,0
-38.829951443429294,20.480982567249484,2019-11-15,11.0,26.3461,0
-14.583748800270165,4.789631964379268,2019-02-15,2.0,29.776947,0
-30.485584881857083,-17.82468937011224,2019-02-15,2.0,28.393402,0
-16.537382194067753,16.026519169464493,2019-11-15,11.0,21.81845,0
-54.275786255124714,27.700725603414185,2019-02-15,2.0,23.4776,0
-36.413788859085834,6.096513733160101,2019-04-15,4.0,26.864044,0
-42.90760792570881,-24.44935900338825,2019-10-15,10.0,23.165771,0
-32.91076813796356,28.955819823082017,2019-07-15,7.0,25.323914,0
-25.27154311771097,5.364472059802388,2019-05-15,5.0,28.106018,0
-17.11942818306369,29.41067404860828,2019-08-15,8.0,23.315582,0
-37.201832415511994,0.10664931030346025,2019-02-15,2.0,27.674438,0
-18.47319203168334,-2.5202046855989657,2019-04-15,4.0,29.109589,0
-21.748235970138566,-7.984559462831143,2019-12-15,12.0,26.61261,0
-18.64857824160478,-6.035406190673566,2019-02-15,2.0,28.305542,0
-46.16575088399286,10.155920594251974,2019-03-15,3.0,26.01477,0
-14.843245607890765,4.237799427361196,2019-06-15,6.0,28.436798,0
-52.503980995439015,21.279827838447865,2019-06-15,6.0,26.7305,0
-21.72266992973909,10.516596159211872,2019-03-15,3.0,23.945374,0
-18.59896179421893,-20.883203017385835,2019-05-15,5.0,26.391327,0
-31.199489678051403,19.91903687512371,2019-04-15,4.0,22.701843,0
-41.4416835171292,20.85284402790424,2019-11-15,11.0,26.52649,0
